,,Joe Wilson,Hamp Redmond,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Republican,,,
Congressional District,2,34292,12085,46377,22774,69151
County,Aiken,7186,2046,9232,2348,11580
Precinct,Aiken No. 01,175,44,219,31,250
Precinct,Aiken No. 02,33,2,35,58,93
Precinct,Aiken No. 03,8,4,12,81,93
Precinct,Aiken No. 04,9,3,12,41,53
Precinct,Aiken No. 05,70,25,95,55,150
Precinct,Aiken No. 06,125,55,180,31,211
Precinct,Aiken No. 47,91,28,119,17,136
Precinct,Anderson Pond No. 69,333,90,423,47,470
Precinct,Ascauga Lake No. 63,45,7,52,19,71
Precinct,Ascauga Lake No. 84,56,15,71,28,99
Precinct,Bath,23,10,33,14,47
Precinct,Beech Island,40,11,51,30,81
Precinct,Belvedere No. 09,26,7,33,13,46
Precinct,Belvedere No. 44,47,10,57,13,70
Precinct,Belvedere No. 62,37,3,40,42,82
Precinct,Belvedere No. 74,20,5,25,2,27
Precinct,Breezy Hill,21,9,30,13,43
Precinct,Breezy No. 87,63,6,69,15,84
Precinct,Carolina Heights,46,12,58,42,100
Precinct,Cedar Creek No. 64,240,53,293,29,322
Precinct,China Springs,33,15,48,72,120
Precinct,Clearwater,33,5,38,14,52
Precinct,College Acres,129,27,156,21,177
Precinct,Community No. 86,47,19,66,12,78
Precinct,Couchton,101,29,130,30,160
Precinct,Creek No. 85,36,9,45,20,65
Precinct,Eureka,67,29,96,31,127
Precinct,Failsafe,3,0,3,0,3
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Fox Creek No. 58,67,12,79,24,103
Precinct,Fox Creek No. 73,85,15,100,15,115
Precinct,Gem Lakes No. 60,139,49,188,13,201
Precinct,Gem Lakes No. 77,202,55,257,24,281
Precinct,Gloverville,72,12,84,15,99
Precinct,Graniteville,82,11,93,20,113
Precinct,Hammond No. 48,79,19,98,27,125
Precinct,Hammond No. 81,44,16,60,21,81
Precinct,Hitchcock No. 66,129,48,177,19,196
Precinct,Hollow Creek,168,49,217,18,235
Precinct,Jackson,108,17,125,15,140
Precinct,Langley,74,28,102,5,107
Precinct,Levels No. 52,60,21,81,18,99
Precinct,Levels No. 72,39,22,61,18,79
Precinct,Levels No. 83,59,15,74,15,89
Precinct,Lynwood,57,8,65,3,68
Precinct,Midland Valley No. 51,52,19,71,10,81
Precinct,Midland Valley No. 71,128,23,151,36,187
Precinct,Midlands No. 88,81,18,99,27,126
Precinct,Millbrook,212,58,270,36,306
Precinct,Misty Lakes,85,14,99,38,137
Precinct,Monetta,52,16,68,32,100
Precinct,Montmorenci No. 22,120,29,149,43,192
Precinct,Montmorenci No. 78,89,30,119,24,143
Precinct,N. Augusta No. 25,83,17,100,27,127
Precinct,N. Augusta No. 26,32,4,36,11,47
Precinct,N. Augusta No. 27,129,27,156,24,180
Precinct,N. Augusta No. 28,83,29,112,11,123
Precinct,N. Augusta No. 29,106,27,133,24,157
Precinct,N. Augusta No. 54,22,7,29,37,66
Precinct,N. Augusta No. 55,92,38,130,14,144
Precinct,N. Augusta No. 67,88,30,118,10,128
Precinct,N. Augusta No. 68,82,12,94,14,108
Precinct,N. Augusta No. 80,60,19,79,12,91
Precinct,New Ellenton,56,10,66,31,97
Precinct,New Holland,46,15,61,13,74
Precinct,Oak Grove,59,33,92,10,102
Precinct,Perry,44,21,65,22,87
Precinct,Pine Forest,94,26,120,14,134
Precinct,Provisional,1,2,3,1,4
Precinct,Redds Branch,77,17,94,21,115
Precinct,Salley,28,9,37,36,73
Precinct,Sandstone No. 70,56,17,73,10,83
Precinct,Sandstone No. 79,86,19,105,23,128
Precinct,Shaws Fork,35,12,47,5,52
Precinct,Shiloh,131,46,177,36,213
Precinct,Silver Bluff,63,11,74,53,127
Precinct,Six Points No. 35,103,18,121,47,168
Precinct,Six Points No. 46,14,2,16,104,120
Precinct,Sleepy Hollow No. 65,182,64,246,27,273
Precinct,South Aiken No. 75,126,29,155,37,192
Precinct,South Aiken No. 76,72,41,113,10,123
Precinct,South Creek No. 89,164,42,206,25,231
Precinct,Tabernacle,25,34,59,15,74
Precinct,Talatha,117,38,155,30,185
Precinct,Vaucluse,104,30,134,56,190
Precinct,Wagener,79,52,131,57,188
Precinct,Ward,65,21,86,31,117
Precinct,Warrenville,120,33,153,31,184
Precinct,White Pond,27,5,32,33,65
Precinct,Willow Springs,68,10,78,15,93
Precinct,Windsor No. 43,64,26,90,22,112
Precinct,Windsor No. 82,63,17,80,12,92
County,Barnwell,1162,373,1535,565,2100
Precinct,Barnwell 01,46,22,68,22,90
Precinct,Barnwell 02,155,57,212,54,266
Precinct,Barnwell 03,164,61,225,69,294
Precinct,Barnwell 04,73,29,102,45,147
Precinct,Blackville 01,29,21,50,45,95
Precinct,Blackville 02,22,8,30,36,66
Precinct,Elko,61,15,76,34,110
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Friendship,153,30,183,5,188
Precinct,Healing Springs,18,3,21,52,73
Precinct,Hilda,105,38,143,5,148
Precinct,Kline,53,13,66,25,91
Precinct,Provisional,0,0,0,0,0
Precinct,Snelling,75,27,102,36,138
Precinct,Williston 01,56,21,77,81,158
Precinct,Williston 02,69,15,84,22,106
Precinct,Williston 03,83,13,96,34,130
County,Lexington,20744,8265,29009,5254,34263
Precinct,7 Oaks,92,28,120,47,167
Precinct,Amicks Ferry,684,270,954,75,1029
Precinct,Barr Road 01,201,87,288,26,314
Precinct,Barr Road 02,378,166,544,56,600
Precinct,Batesburg,138,27,165,56,221
Precinct,Beulah Church,483,166,649,47,696
Precinct,Boiling Springs,309,151,460,30,490
Precinct,Boiling Springs South,203,93,296,12,308
Precinct,Bush River,130,46,176,33,209
Precinct,Carolina Springs,159,126,285,27,312
Precinct,Cayce No. 01,63,42,105,121,226
Precinct,Cayce No. 02,71,25,96,90,186
Precinct,Cayce No. 02-A,89,21,110,69,179
Precinct,Cayce No. 03,72,30,102,56,158
Precinct,Cedar Crest,202,80,282,65,347
Precinct,Chalk Hill,67,35,102,293,395
Precinct,Challedon,82,19,101,92,193
Precinct,Chapin,354,109,463,47,510
Precinct,Coldstream,216,65,281,44,325
Precinct,Congaree 01,229,70,299,17,316
