,,Duke Buckner,Justin Scott,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Republican,,,
Congressional District,6,10145,8050,18195,43519,61714
County,Allendale,28,49,77,422,499
Precinct,Allendale 01,3,8,11,51,62
Precinct,Allendale 02,0,0,0,63,63
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Fairfax 01,2,5,7,35,42
Precinct,Fairfax 02,3,2,5,168,173
Precinct,Martin,0,4,4,31,35
Precinct,Provisional,0,0,0,0,0
Precinct,Sycamore,12,18,30,13,43
Precinct,Ulmer,4,5,9,5,14
Precinct,Woods,4,7,11,56,67
County,Bamberg,63,71,134,1342,1476
Precinct,Colston,1,2,3,41,44
Precinct,East Denmark,10,10,20,225,245
Precinct,Edisto,6,1,7,37,44
Precinct,Ehrhardt,5,12,17,108,125
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Govan,2,1,3,25,28
Precinct,Hightowers Mill,0,0,0,4,4
Precinct,Hunters Chapel,7,2,9,34,43
Precinct,Kearse,3,1,4,2,6
Precinct,Little Swamp,3,2,5,19,24
Precinct,North Bamberg,7,16,23,392,415
Precinct,Olar,7,8,15,32,47
Precinct,Provisional,0,0,0,0,0
Precinct,South Bamberg,10,12,22,315,337
Precinct,West Denmark,2,4,6,108,114
County,Calhoun,451,321,772,1834,2606
Precinct,Bethel,26,28,54,154,208
Precinct,Cameron,43,20,63,128,191
Precinct,Center Hill,27,25,52,148,200
Precinct,Creston,12,9,21,27,48
Precinct,Dixie,16,24,40,494,534
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,1,0,1,0,1
Precinct,Fall Branch,25,11,36,75,111
Precinct,Fort Motte,16,6,22,70,92
Precinct,Lone Star,60,51,111,139,250
Precinct,Midway,38,27,65,28,93
Precinct,Murph Hill,8,9,17,105,122
Precinct,Provisional,0,0,0,0,0
Precinct,Sandy Run,112,71,183,140,323
Precinct,St. Matthews,67,40,107,326,433
County,Charleston,3997,2492,6489,6000,12489
Precinct,Charleston 01,92,22,114,20,134
Precinct,Charleston 02,104,24,128,14,142
Precinct,Charleston 03,63,24,87,11,98
Precinct,Charleston 04,51,29,80,31,111
Precinct,Charleston 05,54,16,70,15,85
Precinct,Charleston 06,33,30,63,14,77
Precinct,Charleston 07,45,26,71,13,84
Precinct,Charleston 08,3,2,5,66,71
Precinct,Charleston 09,11,10,21,37,58
Precinct,Charleston 10,0,1,1,18,19
Precinct,Charleston 11,32,11,43,43,86
Precinct,Charleston 12,13,9,22,80,102
Precinct,Charleston 13,6,3,9,98,107
Precinct,Charleston 14,6,3,9,37,46
Precinct,Charleston 15,2,5,7,44,51
Precinct,Charleston 16,11,5,16,105,121
Precinct,Charleston 17,13,5,18,141,159
Precinct,Charleston 18,3,3,6,113,119
Precinct,Charleston 19,6,1,7,108,115
Precinct,Charleston 20,11,7,18,144,162
Precinct,Charleston 21,2,3,5,64,69
Precinct,Deer Park 01a,13,9,22,47,69
Precinct,Deer Park 01b,79,41,120,86,206
Precinct,Deer Park 02a,46,34,80,113,193
Precinct,Deer Park 02b,28,13,41,86,127
Precinct,Deer Park 02c,48,17,65,84,149
Precinct,Deer Park 03,19,20,39,110,149
Precinct,Failsafe,0,0,0,2,2
Precinct,Failsafe Provisional,1,0,1,13,14
Precinct,Ladson,26,26,52,1,53
Precinct,Lincolnville,25,54,79,4,83
Precinct,North Charleston 01,1,1,2,66,68
Precinct,North Charleston 02,0,0,0,35,35
Precinct,North Charleston 03,51,43,94,62,156
Precinct,North Charleston 04,1,5,6,88,94
Precinct,North Charleston 05,5,3,8,93,101
Precinct,North Charleston 06,1,3,4,95,99
Precinct,North Charleston 07,0,4,4,46,50
Precinct,North Charleston 08,14,4,18,37,55
Precinct,North Charleston 09,28,20,48,7,55
Precinct,North Charleston 10,5,6,11,45,56
Precinct,North Charleston 11,22,15,37,50,87
Precinct,North Charleston 12,27,14,41,44,85
Precinct,North Charleston 13,2,4,6,51,57
Precinct,North Charleston 14,13,7,20,40,60
Precinct,North Charleston 15,4,0,4,54,58
Precinct,North Charleston 16,12,6,18,45,63
Precinct,North Charleston 17,1,4,5,59,64
Precinct,North Charleston 18,12,6,18,78,96
Precinct,North Charleston 19,4,6,10,82,92
Precinct,North Charleston 20,36,19,55,58,113
Precinct,North Charleston 21,11,18,29,70,99
Precinct,North Charleston 22,6,13,19,42,61
Precinct,North Charleston 23,34,34,68,105,173
Precinct,North Charleston 24,12,14,26,152,178
Precinct,North Charleston 25,1,2,3,47,50
Precinct,North Charleston 26,2,1,3,13,16
Precinct,North Charleston 27,13,5,18,39,57
Precinct,North Charleston 28,2,2,4,13,17
Precinct,North Charleston 29,9,14,23,35,58
Precinct,North Charleston 30,18,10,28,135,163
Precinct,Provisional,4,1,5,29,34
Precinct,St. Andrews 01,15,14,29,4,33
Precinct,St. Andrews 02,18,3,21,5,26
Precinct,St. Andrews 03,17,6,23,150,173
Precinct,St. Andrews 04,88,40,128,15,143
Precinct,St. Andrews 05,82,38,120,25,145
Precinct,St. Andrews 06,65,33,98,12,110
Precinct,St. Andrews 07,63,60,123,9,132
Precinct,St. Andrews 08,9,9,18,97,115
Precinct,St. Andrews 09,7,4,11,118,129
Precinct,St. Andrews 10,34,16,50,91,141
Precinct,St. Andrews 11,45,36,81,17,98
Precinct,St. Andrews 12,46,35,81,13,94
Precinct,St. Andrews 13,56,51,107,12,119
Precinct,St. Andrews 14,37,31,68,7,75
Precinct,St. Andrews 15,6,1,7,89,96
Precinct,St. Andrews 16,30,22,52,10,62
Precinct,St. Andrews 17,71,61,132,17,149
Precinct,St. Andrews 18,15,8,23,93,116
Precinct,St. Andrews 19,3,2,5,45,50
Precinct,St. Andrews 20,57,37,94,51,145
Precinct,St. Andrews 21,28,14,42,3,45
Precinct,St. Andrews 22,64,49,113,18,131
Precinct,St. Andrews 23,17,13,30,2,32
Precinct,St. Andrews 24,31,19,50,5,55
Precinct,St. Andrews 25,19,25,44,1,45
Precinct,St. Andrews 26,48,41,89,6,95
Precinct,St. Andrews 27,113,71,184,186,370
Precinct,St. Andrews 28,115,85,200,147,347
Precinct,St. Andrews 29,93,48,141,83,224
Precinct,St. Andrews 30,70,32,102,11,113
Precinct,St. Andrews 31,36,15,51,5,56
Precinct,St. Andrews 32,60,58,118,16,134
Precinct,St. Andrews 33,61,45,106,17,123
Precinct,St. Andrews 34,221,119,340,52,392
Precinct,St. Andrews 35,125,95,220,39,259
Precinct,St. Andrews 36,101,83,184,28,212
Precinct,St. Andrews 37,208,188,396,80,476
Precinct,St. Pauls 01,23,10,33,118,151
Precinct,St. Pauls 02a,29,10,39,39,78
Precinct,St. Pauls 02b,67,13,80,152,232
Precinct,St. Pauls 03,240,85,325,93,418
Precinct,St. Pauls 04,34,16,50,221,271
Precinct,St. Pauls 05,56,28,84,73,157
