,,Bryon L Best,Frances Guldner,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Democratic,Democratic,,,
Congressional District,3,5188,3129,8317,84727,93044
County,Abbeville,302,95,397,1997,2394
Precinct,Abbeville No. 01,27,8,35,264,299
Precinct,Abbeville No. 02,58,14,72,87,159
Precinct,Abbeville No. 03,44,5,49,129,178
Precinct,Abbeville No. 04,15,8,23,116,139
Precinct,Antreville,11,3,14,206,220
Precinct,Broadmouth,4,0,4,47,51
Precinct,Calhoun Falls,39,18,57,109,166
Precinct,Cold Springs,11,4,15,169,184
Precinct,Donald's,4,2,6,69,75
Precinct,Due West,25,13,38,162,200
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Hall's Store,5,2,7,66,73
Precinct,Keowee,14,4,18,177,195
Precinct,Lebanon,16,4,20,133,153
Precinct,Lowndesville,9,4,13,160,173
Precinct,Provisional,0,0,0,1,1
Precinct,Smithville,20,6,26,102,128
County,Anderson,931,605,1536,23569,25105
Precinct,3 And 20,11,17,28,507,535
Precinct,5 Forks,17,11,28,441,469
Precinct,Anderson 01/1,9,4,13,222,235
Precinct,Anderson 01/2,6,7,13,355,368
Precinct,Anderson 02/1,6,3,9,319,328
Precinct,Anderson 02/2,19,17,36,493,529
Precinct,Anderson 03/1,8,3,11,63,74
Precinct,Anderson 03/2,19,7,26,64,90
Precinct,Anderson 04/1,28,9,37,21,58
Precinct,Anderson 04/2,46,16,62,120,182
Precinct,Anderson 05/b,38,9,47,21,68
Precinct,Anderson 06/1,19,10,29,305,334
Precinct,Anderson 06/2,16,6,22,39,61
Precinct,Appleton-Equinox,6,3,9,58,67
Precinct,Barkers Creek-Mcadams,1,0,1,131,132
Precinct,Belton,9,0,9,307,316
Precinct,Belton Annex,8,5,13,418,431
Precinct,Bishops Branch,10,11,21,417,438
Precinct,Bowling Green,1,2,3,167,170
Precinct,Broadview,43,7,50,61,111
Precinct,Broadway,14,3,17,145,162
Precinct,Brushy Creek,10,11,21,451,472
Precinct,Cedar Grove,8,3,11,249,260
Precinct,Center Rock,14,5,19,598,617
Precinct,Centerville Station A,34,11,45,560,605
Precinct,Centerville Station B,24,16,40,560,600
Precinct,Chiquola Mill,6,1,7,34,41
Precinct,Concrete,17,15,32,527,559
Precinct,Coxs Creek,9,8,17,234,251
Precinct,Craytonville,2,1,3,244,247
Precinct,Denver-sandy Springs,5,8,13,335,348
Precinct,Edgewood Station A,15,11,26,246,272
Precinct,Edgewood Station B,18,5,23,466,489
Precinct,Failsafe,1,0,1,12,13
Precinct,Failsafe Provisional,0,0,0,14,14
Precinct,Flat Rock,7,3,10,204,214
Precinct,Fork No. 01,3,12,15,331,346
Precinct,Fork No. 02,4,9,13,431,444
Precinct,Friendship,4,3,7,180,187
Precinct,Glenview,15,16,31,430,461
Precinct,Gluck Mill,10,4,14,106,120
Precinct,Green Pond Station A,12,18,30,553,583
Precinct,Hall,7,3,10,214,224
Precinct,Hammond Annex,16,12,28,460,488
Precinct,Hammond School,8,8,16,456,472
Precinct,High Point,1,0,1,171,172
Precinct,Homeland Park,2,0,2,49,51
Precinct,Honea Path,5,5,10,283,293
Precinct,Hopewell,8,8,16,407,423
Precinct,Hunt Meadows,12,24,36,747,783
Precinct,Iva,8,4,12,319,331
Precinct,Jackson Mill,4,3,7,258,265
Precinct,La France,5,5,10,197,207
Precinct,Lakeside,39,13,52,363,415
Precinct,Melton,12,6,18,185,203
Precinct,Mount Tabor,28,18,46,621,667
Precinct,Mountain Creek,11,7,18,78,96
Precinct,Mt Airy,5,13,18,415,433
Precinct,Neals Creek,24,6,30,334,364
Precinct,North Pointe,20,16,36,477,513
Precinct,Pelzer,1,2,3,110,113
Precinct,Pendleton,41,39,80,571,651
Precinct,Piedmont,1,2,3,113,116
Precinct,Piercetown,10,9,19,526,545
Precinct,Powdersville,19,21,40,426,466
Precinct,Provisional,0,0,0,6,6
Precinct,Rock Mill,5,6,11,335,346
Precinct,Rock Springs,1,0,1,204,205
Precinct,Shirley's Store,10,3,13,230,243
Precinct,Simpsonville,2,7,9,389,398
Precinct,South Fant,14,6,20,52,72
Precinct,Starr,0,3,3,218,221
Precinct,Toney Creek,4,0,4,151,155
Precinct,Town Creek,12,5,17,465,482
Precinct,Townville,2,2,4,211,215
Precinct,Varennes,6,1,7,73,80
Precinct,West Pelzer,4,7,11,361,372
Precinct,West Savannah,7,4,11,93,104
Precinct,White Plains,10,17,27,601,628
Precinct,Williamston,9,10,19,379,398
Precinct,Williamston Mill,6,0,6,367,373
Precinct,Wright's School,0,0,0,215,215
County,Edgefield,455,133,588,1935,2523
Precinct,Brunson,36,4,40,39,79
Precinct,Edgefield No. 01,22,14,36,109,145
Precinct,Edgefield No. 02,46,15,61,153,214
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Harmony,20,5,25,166,191
Precinct,Johnston No. 01,57,9,66,102,168
Precinct,Johnston No. 02,52,14,66,157,223
Precinct,Merriweather No. 01,19,16,35,313,348
Precinct,Merriweather No. 02,34,10,44,451,495
Precinct,North Side,33,2,35,56,91
Precinct,Provisional,0,0,0,0,0
Precinct,Trenton No. 01,41,7,48,68,116
Precinct,Trenton No. 02,92,35,127,109,236
Precinct,Westside,3,2,5,212,217
County,Greenville,544,404,948,5852,6800
Precinct,Baker Creek,13,7,20,230,250
Precinct,Dunklin,8,7,15,434,449
Precinct,Failsafe,0,0,0,12,12
Precinct,Failsafe Provisional,0,0,0,21,21
Precinct,Fork Shoals,5,9,14,382,396
Precinct,Fountain Inn 01,45,32,77,391,468
Precinct,Fountain Inn 02,9,8,17,166,183
Precinct,Long Creek,30,20,50,314,364
Precinct,Neely Farms,30,38,68,441,509
Precinct,Piedmont,36,23,59,327,386
Precinct,Pineview,7,3,10,169,179
Precinct,Provisional,0,0,0,31,31
Precinct,Raintree,31,18,49,371,420
Precinct,Reedy Fork,105,75,180,309,489
Precinct,Sycamore,15,19,34,525,559
Precinct,Verdmont,17,27,44,334,378
